,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
401,Tom Willander,20,VAN,D,68,5,15,20,-18,28,5,0,0,0,12,3,0,56,8.9,146,1150:27,16:55,0,0,,76,31,11,58,,willato01
402,Alexandre Texier,26,2TM,C,50,8,12,20,8,24,8,0,0,1,11,1,0,74,10.8,147,679:27,13:35,3,13,18.8,15,64,6,23,,texieal01
402,Alexandre Texier,26,STL,C,8,0,1,1,0,2,0,0,0,0,1,0,0,7,0.0,13,82:03,10:15,1,0,100.0,1,9,1,2,,texieal01
402,Alexandre Texier,26,MTL,C,42,8,11,19,8,22,8,0,0,1,10,1,0,67,11.9,134,597:24,14:13,2,13,13.3,14,55,5,21,,texieal01
403,Nic Dowd,35,2TM,C,74,5,15,20,-5,73,4,0,1,0,15,0,0,66,7.6,135,1078:38,14:35,468,488,49.0,50,138,19,43,,dowdni01
403,Nic Dowd,35,WSH,C,55,4,12,16,-6,53,4,0,0,0,12,0,0,48,8.3,93,855:28,15:33,373,393,48.7,43,113,15,36,,dowdni01
403,Nic Dowd,35,VEG,C,19,1,3,4,1,20,0,0,1,0,3,0,0,18,5.6,42,223:10,11:45,95,95,50.0,7,25,4,7,,dowdni01
404,Scott Laughton,31,2TM,C,62,13,7,20,-4,31,10,1,2,2,6,1,0,90,14.4,172,889:28,14:21,431,316,57.7,41,119,13,57,,laughsc01
404,Scott Laughton,31,TOR,C,43,8,4,12,-3,17,6,0,2,1,4,0,0,53,15.1,98,587:30,13:40,279,213,56.7,28,78,10,32,,laughsc01
404,Scott Laughton,31,LAK,C,19,5,3,8,-1,14,4,1,0,1,2,1,0,37,13.5,74,301:58,15:54,152,103,59.6,13,41,3,25,,laughsc01
405,Ryan Strome,32,2TM,C,51,8,12,20,-8,35,7,1,0,1,11,1,0,57,14.0,119,678:19,13:18,181,217,45.5,15,22,8,42,,stromry01
405,Ryan Strome,32,ANA,C,33,3,6,9,-5,27,2,1,0,0,6,0,0,35,8.6,81,401:26,12:10,94,106,47.0,8,16,5,22,,stromry01
405,Ryan Strome,32,CGY,C,18,5,6,11,-3,8,5,0,0,1,5,1,0,22,22.7,38,276:53,15:23,87,111,43.9,7,6,3,20,,stromry01
406,Dylan DeMelo,32,WPG,D,80,3,16,19,11,38,3,0,0,0,14,0,2,74,4.1,196,1721:48,21:31,0,0,,107,111,23,76,,demeldy01
407,Pierre-Luc Dubois,27,WSH,C,29,5,14,19,-4,19,2,3,0,0,11,3,0,42,11.9,87,487:50,16:49,181,202,47.3,13,23,5,28,,duboipi01
408,Zemgus Girgensons,32,TBL,C,73,9,10,19,0,31,9,0,0,2,10,0,0,89,10.1,174,1075:05,14:44,93,118,44.1,44,194,6,42,,girgeze01
409,Matvei Gridin,19,CGY,F,35,6,13,19,-13,2,5,1,0,0,8,5,0,68,8.8,133,526:28,15:03,2,13,13.3,27,10,7,39,,gridima01
410,Marco Kasper,21,DET,C,80,9,10,19,-18,33,8,1,0,2,8,1,1,129,7.0,236,1098:40,13:44,224,209,51.7,50,184,13,55,,kaspema01
411,Blake Lizotte,28,PIT,C,55,7,12,19,6,25,6,0,1,1,12,0,0,49,14.3,106,763:06,13:52,238,238,50.0,35,49,12,32,,lizotbl01
412,Michael Misa,18,SJS,F,43,7,12,19,-3,10,6,1,0,1,10,2,0,50,14.0,96,548:18,12:45,151,183,45.2,22,13,7,28,,misami01
413,Oliver Moore,21,CHI,C,51,5,14,19,-15,19,3,2,0,0,11,3,0,57,8.8,111,654:56,12:51,99,106,48.3,13,25,15,41,,mooreol01
414,Nino Niederreiter,33,WPG,RW,59,8,11,19,-5,16,7,1,0,2,7,4,0,80,10.0,141,811:58,13:46,3,4,42.9,20,69,8,41,,niedeni01
