,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
540,Elmer Söderblom,24,PIT,RW,19,4,5,9,4,9,4,0,0,0,5,0,0,26,15.4,48,225:24,11:52,1,1,50.0,7,34,6,16,,soderel01
541,Carson Soucy,31,2TM,D,75,5,7,12,-6,38,5,0,0,0,7,0,0,60,8.3,157,1239:44,16:32,0,0,,91,103,20,74,,soucyca01
541,Carson Soucy,31,NYR,D,46,3,5,8,4,18,3,0,0,0,5,0,0,39,7.7,94,791:51,17:13,0,0,,66,71,14,49,,soucyca01
541,Carson Soucy,31,NYI,D,29,2,2,4,-10,20,2,0,0,0,2,0,0,21,9.5,63,447:53,15:27,0,0,,25,32,6,25,,soucyca01
542,Erik Černák,28,TBL,D,60,3,8,11,3,74,3,0,0,1,7,0,1,52,5.8,119,1058:40,17:39,0,0,,97,112,15,53,,cernaer01
543,Ty Dellandrea,25,SJS,C,45,2,9,11,-18,20,1,0,1,0,8,0,1,47,4.3,89,636:00,14:08,274,249,52.4,37,127,7,24,,dellaty01
544,Dante Fabbro,27,CBJ,D,73,5,6,11,-16,33,5,0,0,1,6,0,0,67,7.5,173,1206:16,16:31,0,0,,118,64,20,59,,fabbrda01
545,Stephen Halliday,23,OTT,C,29,4,7,11,0,2,4,0,0,0,4,3,0,32,12.5,55,241:37,8:20,25,39,39.1,8,29,2,15,,hallist01
546,Albert Johansson,25,DET,D,81,3,8,11,-16,16,2,0,1,1,7,0,1,61,4.9,172,1292:14,15:57,0,0,,93,56,21,56,,johanal01
547,Mathieu Joseph,28,2TM,RW,49,2,9,11,-5,4,1,0,1,1,9,0,0,34,5.9,82,596:27,12:10,5,14,26.3,33,112,13,25,,josepma01
547,Mathieu Joseph,28,STL,RW,39,2,9,11,-5,4,1,0,1,1,9,0,0,29,6.9,67,494:37,12:41,4,11,26.7,28,85,10,23,,josepma01
547,Mathieu Joseph,28,LAK,RW,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,15,101:50,10:11,1,3,25.0,5,27,3,2,,josepma01
548,Timothy Liljegren,26,2TM,D,47,1,10,11,-7,29,1,0,0,0,8,2,0,39,2.6,113,933:02,19:51,0,0,,90,38,9,50,,liljeti01
548,Timothy Liljegren,26,SJS,D,43,1,10,11,-7,27,1,0,0,0,8,2,0,34,2.9,98,865:23,20:08,0,0,,83,36,6,47,,liljeti01
548,Timothy Liljegren,26,WSH,D,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,15,67:39,16:55,0,0,,7,2,3,3,,liljeti01
549,Nils Lundkvist,25,DAL,D,51,3,8,11,12,16,3,0,0,0,8,0,0,46,6.5,127,836:36,16:24,0,0,,47,26,8,49,,lundkni01
550,Emil Martinsen Lilleberg,24,TBL,D,49,4,7,11,14,57,4,0,0,2,7,0,0,42,9.5,97,849:04,17:20,0,0,,44,96,6,42,,martiem01
551,Brayden McNabb,35,VEG,D,62,5,6,11,0,26,5,0,0,1,6,0,0,80,6.3,203,1273:56,20:33,0,0,,139,110,16,50,,mcnabbr01
552,Niko Mikkola,29,FLA,D,68,3,8,11,-1,47,3,0,0,0,8,0,0,68,4.4,173,1384:11,20:21,0,0,,81,116,16,73,,mikkoni01
553,Colton Sissons,32,VEG,C,65,6,5,11,-10,28,6,0,0,2,3,2,0,73,8.2,135,811:08,12:29,346,267,56.4,46,92,12,30,,sissoco01
554,Nico Sturm,30,MIN,C,48,5,6,11,1,16,4,0,1,0,6,0,0,38,13.2,69,522:14,10:53,199,166,54.5,19,55,10,20,,sturmni01
555,Nathan Walker,31,STL,C,44,4,7,11,-9,26,4,0,0,1,7,0,0,38,10.5,71,525:30,11:57,53,46,53.5,33,171,3,24,,walkena01
556,Colton Dach,23,2TM,C,60,4,7,11,-17,47,3,1,0,1,6,1,0,57,7.0,132,686:27,11:26,26,45,36.6,27,215,13,31,,dachco01
556,Colton Dach,23,CHI,C,53,3,6,9,-15,47,2,1,0,1,5,1,0,52,5.8,113,619:00,11:41,26,45,36.6,27,189,13,27,,dachco01
556,Colton Dach,23,EDM,C,7,1,1,2,-2,0,1,0,0,0,1,0,0,5,20.0,19,67:27,9:38,0,0,,0,26,0,4,,dachco01
557,Danton Heinen,30,2TM,C,45,6,5,11,6,16,6,0,0,0,5,0,0,43,14.0,94,510:53,11:21,8,15,34.8,24,54,9,18,,heineda01
557,Danton Heinen,30,PIT,C,13,1,1,2,1,8,1,0,0,0,1,0,0,14,7.1,35,151:41,11:40,5,11,31.3,10,16,2,4,,heineda01
557,Danton Heinen,30,CBJ,C,32,5,4,9,5,8,5,0,0,0,4,0,0,29,17.2,59,359:12,11:14,3,4,42.9,14,38,7,14,,heineda01
558,Tyler Myers,35,2TM,D,72,1,10,11,-23,52,1,0,0,0,10,0,0,85,1.2,189,1403:15,19:29,0,0,,118,84,20,77,,myersty01
558,Tyler Myers,35,VAN,D,57,1,7,8,-25,40,1,0,0,0,7,0,0,71,1.4,164,1152:12,20:13,0,0,,91,65,20,60,,myersty01
558,Tyler Myers,35,DAL,D,15,0,3,3,2,12,0,0,0,0,3,0,0,14,0.0,25,251:03,16:44,0,0,,27,19,0,17,,myersty01
559,Brett Kulak,32,3TM,D,81,1,10,11,-5,38,1,0,0,0,10,0,0,93,1.1,218,1533:13,18:56,0,0,,105,18,14,62,,kulakbr01
559,Brett Kulak,32,EDM,D,31,0,2,2,-7,10,0,0,0,0,2,0,0,33,0.0,87,548:52,17:42,0,0,,38,4,5,18,,kulakbr01
559,Brett Kulak,32,PIT,D,25,1,6,7,2,18,1,0,0,0,6,0,0,29,3.4,68,508:08,20:20,0,0,,39,5,3,22,,kulakbr01
559,Brett Kulak,32,COL,D,25,0,2,2,0,10,0,0,0,0,2,0,0,31,0.0,63,476:13,19:03,0,0,,28,9,6,22,,kulakbr01
560,Rodrigo Abols,30,PHI,C,42,3,7,10,-1,22,2,0,1,0,6,0,1,43,7.0,88,441:02,10:30,158,145,52.1,24,49,11,14,,abolsro01
561,Zakhar Bardakov,24,COL,C,58,1,9,10,6,14,1,0,0,0,9,0,0,33,3.0,76,412:14,7:06,69,94,42.3,21,48,6,26,,bardaza01
562,Maxwell Crozier,25,TBL,D,34,1,9,10,7,40,1,0,0,0,8,0,1,44,2.3,98,543:54,16:00,0,0,,31,38,5,18,,crozima01
563,Kaiden Guhle,24,MTL,D,38,2,8,10,4,41,2,0,0,2,8,0,0,36,5.6,102,741:43,19:31,0,0,,63,83,21,36,,guhleka01
564,Cole Hutson,19,WSH,D,13,3,7,10,-3,8,2,1,0,0,2,5,0,21,14.3,48,224:30,17:16,0,0,,5,13,8,12,,hutsoco01
565,Noah Juulsen,28,PHI,D,51,1,9,10,2,15,1,0,0,0,9,0,0,26,3.8,83,696:41,13:40,0,0,,44,103,10,49,,juulsno01
566,Logan Mailloux,22,STL,D,65,3,7,10,-14,48,3,0,0,0,5,2,0,74,4.1,180,1079:32,16:36,0,0,,54,92,17,66,,mailllo01
567,Alexander Petrovic,33,DAL,D,54,2,8,10,2,47,2,0,0,0,8,0,0,57,3.5,121,829:04,15:21,0,0,,77,88,9,45,,petroal01
568,Pavol Regenda,26,SJS,F,23,9,1,10,-3,10,5,4,0,2,1,0,0,42,21.4,66,311:22,13:32,11,6,64.7,6,56,2,13,,regenpa01
569,Nick Seeler,32,PHI,D,79,4,6,10,2,36,4,0,0,0,6,0,0,93,4.3,250,1388:21,17:34,0,0,,143,125,13,57,,seeleni01
570,Otto Stenberg,20,STL,C,32,3,7,10,3,5,3,0,0,0,6,0,1,31,9.7,65,435:48,13:37,4,10,28.6,15,49,5,15,,stenbot01
571,Alexey Toropchenko,26,STL,RW,63,4,6,10,-11,28,3,0,1,0,5,0,1,66,6.1,108,752:12,11:56,4,2,66.7,56,127,8,29,,toropal01
572,Spencer Stastney,26,2TM,D,66,2,8,10,-11,20,2,0,0,0,7,0,1,56,3.6,123,1023:13,15:30,0,0,,63,13,19,66,,stastsp01
572,Spencer Stastney,26,NSH,D,30,1,8,9,-1,10,1,0,0,0,7,0,1,30,3.3,67,445:59,14:52,0,0,,25,5,9,22,,stastsp01
572,Spencer Stastney,26,EDM,D,36,1,0,1,-10,10,1,0,0,0,0,0,0,26,3.8,56,577:14,16:02,0,0,,38,8,10,44,,stastsp01
573,Justin Barron,24,NSH,D,51,0,9,9,0,17,0,0,0,0,9,0,0,31,0.0,89,722:24,14:10,0,0,,59,37,3,51,,barroju01
574,Cody Ceci,32,LAK,D,80,1,8,9,-9,16,1,0,0,0,7,0,1,58,1.7,184,1403:32,17:33,0,0,,110,36,13,60,,cecico01
575,Brandon Duhaime,28,WSH,RW,81,4,5,9,-2,78,3,0,1,0,5,0,0,63,6.3,142,897:36,11:05,14,29,32.6,57,156,7,29,,duhaibr01
576,Anton Frondell,18,CHI,C,11,3,6,9,-2,4,3,0,0,0,4,2,0,35,8.6,68,199:05,18:06,27,73,27.0,11,8,2,11,,frondan01
577,Samuel Helenius,23,LAK,C,51,5,4,9,-5,48,5,0,0,0,4,0,0,38,13.2,83,409:25,8:02,109,132,45.2,16,142,4,14,,helensa02
578,Alexander Holtz,24,VEG,RW,28,3,6,9,-1,10,3,0,0,0,6,0,0,30,10.0,71,321:28,11:29,3,11,21.4,11,29,1,20,,holtzal01
579,Joel Kiviranta,29,COL,F,49,3,6,9,7,8,3,0,0,0,6,0,0,43,7.0,81,504:58,10:18,3,6,33.3,13,62,7,16,,kivirjo01
580,Jesperi Kotkaniemi,25,CAR,C,41,2,7,9,3,8,2,0,0,0,7,0,0,41,4.9,77,459:15,11:12,126,135,48.3,16,63,3,31,,kotkaje01
581,Ryan Lindgren,27,SEA,D,75,2,7,9,-1,60,2,0,0,1,6,0,1,48,4.2,156,1376:46,18:21,0,1,0.0,117,46,16,77,,lindgry01
582,Ryan Lomberg,31,CGY,LW,57,4,5,9,-4,59,4,0,0,1,5,0,0,53,7.5,99,515:32,9:03,5,8,38.5,17,129,3,18,,lombery01
583,Jeff Malott,29,LAK,F,58,3,6,9,-9,55,3,0,0,0,6,0,0,54,5.6,126,511:30,8:49,4,10,28.6,27,166,8,18,,malotje01
584,Nikita Nesterenko,24,ANA,C,29,1,8,9,-2,8,1,0,0,1,8,0,0,31,3.2,69,355:27,12:15,11,17,39.3,8,53,1,14,,nesteni02
585,Joel Nystrom,23,CAR,D,37,1,8,9,5,6,1,0,0,0,8,0,0,43,2.3,121,561:13,15:10,0,0,,21,9,5,31,,nystrjo01
586,Elias Pettersson,21,VAN,D,68,2,7,9,-15,32,2,0,0,0,7,0,0,44,4.5,130,1020:23,15:00,0,0,,83,130,14,66,,petteel02
587,Mike Reilly,32,CAR,D,41,1,8,9,11,24,0,0,1,0,8,0,0,62,1.6,150,606:23,14:47,0,0,,35,18,6,22,,reillmi01
588,Brandon Saad,33,VEG,LW,49,3,6,9,-7,14,3,0,0,0,6,0,0,78,3.8,147,655:52,13:23,9,22,29.0,18,11,11,30,,saadbr01
589,Ryan Ufko,22,NSH,D,17,2,7,9,1,4,2,0,0,1,6,1,0,11,18.2,32,229:25,13:30,0,0,,12,10,2,11,,ufkory01
590,Frank Vatrano,31,ANA,LW,49,5,4,9,-14,40,5,0,0,1,3,1,0,78,6.4,145,582:36,11:53,6,8,42.9,28,83,6,17,,vatrafr01
591,Jeffrey Viel,29,2TM,F,43,3,6,9,-5,77,3,0,0,0,6,0,0,61,4.9,124,513:37,11:57,1,4,20.0,21,118,7,27,,vielje01
591,Jeffrey Viel,29,BOS,F,10,0,0,0,-1,30,0,0,0,0,0,0,0,11,0.0,21,95:03,9:30,1,1,50.0,4,27,1,2,,vielje01
591,Jeffrey Viel,29,ANA,F,33,3,6,9,-4,47,3,0,0,0,6,0,0,50,6.0,103,418:34,12:41,0,3,0.0,17,91,6,25,,vielje01
592,Jeff Petry,38,2TM,D,66,0,9,9,-15,22,0,0,0,0,7,2,0,53,0.0,153,968:57,14:41,0,0,,63,64,8,52,,petryje01
592,Jeff Petry,38,FLA,D,58,0,8,8,-10,22,0,0,0,0,6,2,0,45,0.0,135,861:37,14:51,0,0,,57,59,4,48,,petryje01
592,Jeff Petry,38,MIN,D,8,0,1,1,-5,0,0,0,0,0,1,0,0,8,0.0,18,107:20,13:25,0,0,,6,5,4,4,,petryje01
593,Nick Bjugstad,33,2TM,C,60,6,3,9,-10,33,5,0,1,1,3,0,0,77,7.8,138,654:09,10:54,168,174,49.1,33,105,10,22,,bjugsni01
593,Nick Bjugstad,33,STL,C,35,6,1,7,-7,25,5,0,1,1,1,0,0,54,11.1,94,407:24,11:38,134,128,51.1,22,73,3,12,,bjugsni01
593,Nick Bjugstad,33,NJD,C,25,0,2,2,-3,8,0,0,0,0,2,0,0,23,0.0,44,246:45,9:52,34,46,42.5,11,32,7,10,,bjugsni01
594,Isak Rosen,22,2TM,RW,35,5,4,9,-2,0,5,0,0,0,2,2,0,32,15.6,88,400:27,11:26,1,2,33.3,20,17,5,18,,rosenis01
594,Isak Rosen,22,BUF,RW,16,3,4,7,-3,0,3,0,0,0,2,2,0,16,18.8,39,200:58,12:34,1,0,100.0,10,7,4,11,,rosenis01
594,Isak Rosen,22,WPG,RW,19,2,0,2,1,0,2,0,0,0,0,0,0,16,12.5,49,199:29,10:30,0,2,0.0,10,10,1,7,,rosenis01
595,Luke Glendening,36,2TM,C,69,2,7,9,-8,8,2,0,0,0,6,0,1,50,4.0,83,722:42,10:28,335,301,52.7,53,97,6,11,,glendlu01
595,Luke Glendening,36,NJD,C,52,0,4,4,-11,4,0,0,0,0,3,0,1,30,0.0,52,514:52,9:54,264,247,51.7,45,66,6,8,,glendlu01
595,Luke Glendening,36,PHI,C,17,2,3,5,3,4,2,0,0,0,3,0,0,20,10.0,31,207:50,12:14,71,54,56.8,8,31,0,3,,glendlu01
596,Lian Bichsel,21,DAL,D,49,4,4,8,6,37,4,0,0,2,4,0,0,26,15.4,86,762:43,15:34,0,0,,42,136,13,37,,bichsli01
597,Alex Bump,22,PHI,LW,16,4,4,8,2,2,4,0,0,1,4,0,0,22,18.2,51,198:01,12:23,0,2,0.0,6,14,3,10,,bumpal01
598,Nick DeSimone,31,UTA,D,39,2,6,8,5,10,2,0,0,1,6,0,0,33,6.1,79,552:04,14:09,0,0,,29,17,5,32,,desimni01
599,Adam Erne,30,DAL,LW,44,6,2,8,1,19,6,0,0,0,2,0,0,41,14.6,84,436:55,9:56,2,8,20.0,19,138,7,15,,ernead01
600,Noah Gregor,27,FLA,C,36,4,4,8,-12,26,4,0,0,0,4,0,0,39,10.3,85,340:00,9:27,18,27,40.0,11,37,4,10,,gregono01
601,Lenni Hameenaho,21,NJD,RW,33,2,6,8,-3,14,2,0,0,0,6,0,0,47,4.3,91,401:59,12:11,0,5,0.0,16,20,6,12,,hameele01
602,Jansen Harkins,28,ANA,C,44,3,5,8,-6,28,3,0,0,0,5,0,0,37,8.1,78,421:59,9:35,95,90,51.4,24,113,6,27,,harkija01
603,Mattias Janmark,33,EDM,C,43,1,7,8,-8,22,1,0,0,0,6,0,1,24,4.2,53,509:54,11:51,7,12,36.8,13,10,5,14,,janmama02
604,Calle Järnkrok,34,TOR,C,56,6,2,8,-15,8,6,0,0,0,2,0,0,45,13.3,79,663:00,11:50,28,30,48.3,11,33,4,19,,jarnkca01
605,Johnathan Kovacevic,28,NJD,D,33,0,8,8,0,38,0,0,0,0,8,0,0,29,0.0,71,587:45,17:49,0,0,,38,57,8,27,,kovacjo01
606,Ilya Lyubushkin,31,DAL,D,52,1,7,8,1,38,1,0,0,0,7,0,0,32,3.1,68,818:36,15:45,0,0,,88,67,8,46,,lyubuil01
607,Porter Martone,19,PHI,RW,8,3,5,8,3,6,1,2,0,1,3,2,0,27,11.1,44,135:45,16:58,0,0,,2,14,0,3,,martopo01
608,Sonny Milano,29,WSH,LW,31,4,4,8,0,4,4,0,0,2,4,0,0,33,12.1,57,275:23,8:53,8,4,66.7,3,9,4,19,,milanso01
609,Zayne Parekh,19,CGY,D,35,3,5,8,-8,8,0,3,0,0,2,3,0,45,6.7,131,589:47,16:51,0,0,,28,12,8,60,,parekza01
610,Reid Schaefer,22,NSH,LW,46,6,2,8,-11,15,6,0,0,1,2,0,0,38,15.8,81,444:50,9:40,1,7,12.5,30,107,5,19,,schaere01
611,Jaccob Slavin,31,CAR,D,39,1,7,8,8,4,1,0,0,1,5,0,2,63,1.6,127,831:06,21:19,0,0,,54,6,32,37,,slavija01
612,Conor Timmins,27,BUF,D,38,0,8,8,-8,16,0,0,0,0,8,0,0,40,0.0,103,714:45,18:49,0,0,,79,28,8,44,,timmico01
613,Sammy Blais,29,2TM,LW,21,3,5,8,2,10,3,0,0,0,5,0,0,18,16.7,28,176:56,8:26,1,2,33.3,12,78,4,2,,blaissa01
613,Sammy Blais,29,TOR,LW,8,1,2,3,-2,4,1,0,0,0,2,0,0,7,14.3,11,66:17,8:17,1,0,100.0,5,28,1,2,,blaissa01
613,Sammy Blais,29,MTL,LW,13,2,3,5,4,6,2,0,0,0,3,0,0,11,18.2,17,110:39,8:31,0,2,0.0,7,50,3,0,,blaissa01
614,Jacob Bryson,28,2TM,D,49,2,6,8,-8,10,2,0,0,0,6,0,0,21,9.5,59,526:05,10:44,0,0,,27,12,5,17,,brysoja01
614,Jacob Bryson,28,BUF,D,35,2,3,5,-1,8,2,0,0,0,3,0,0,12,16.7,40,351:14,10:02,0,0,,20,9,2,11,,brysoja01
614,Jacob Bryson,28,WPG,D,14,0,3,3,-7,2,0,0,0,0,3,0,0,9,0.0,19,174:51,12:29,0,0,,7,3,3,6,,brysoja01
615,Ilya Solovyov,25,2TM,D,29,1,7,8,0,14,1,0,0,0,7,0,0,21,4.8,65,367:53,12:41,0,0,,32,33,5,18,,solovil01
615,Ilya Solovyov,25,COL,D,16,1,2,3,-1,6,1,0,0,0,2,0,0,14,7.1,43,185:03,11:34,0,0,,19,19,3,6,,solovil01
615,Ilya Solovyov,25,PIT,D,13,0,5,5,1,8,0,0,0,0,5,0,0,7,0.0,22,182:50,14:04,0,0,,13,14,2,12,,solovil01
616,Lukas Reichel,23,3TM,LW,29,3,5,8,-2,6,3,0,0,1,5,0,0,24,12.5,52,361:01,12:27,46,71,39.3,16,9,5,20,,reichlu01
616,Lukas Reichel,23,CHI,LW,5,2,2,4,1,2,2,0,0,0,2,0,0,6,33.3,10,49:19,9:52,2,5,28.6,3,1,1,4,,reichlu01
616,Lukas Reichel,23,VAN,LW,14,0,1,1,-5,4,0,0,0,0,1,0,0,9,0.0,26,183:30,13:06,44,66,40.0,8,6,1,9,,reichlu01
616,Lukas Reichel,23,BOS,LW,10,1,2,3,2,0,1,0,0,1,2,0,0,9,11.1,16,128:12,12:49,0,0,,5,2,3,7,,reichlu01
617,Nathan Bastian,28,DAL,RW,36,6,1,7,4,21,6,0,0,0,1,0,0,25,24.0,43,311:12,8:39,0,2,0.0,7,85,1,11,,bastina01
618,Hunter Brzustewicz,21,CGY,D,32,2,5,7,0,4,2,0,0,0,4,1,0,32,6.3,73,506:19,15:49,0,0,,22,22,5,26,,brzushu01
619,Danil But,20,UTA,LW,29,3,4,7,1,8,2,1,0,0,2,2,0,43,7.0,94,361:37,12:28,7,14,33.3,18,16,4,18,,butda01
620,Brandon Carlo,29,TOR,D,55,0,7,7,4,37,0,0,0,0,6,0,1,66,0.0,142,1065:06,19:22,0,0,,98,65,7,53,,carlobr01
621,Declan Chisholm,26,WSH,D,26,1,6,7,3,4,1,0,0,0,6,0,0,20,5.0,52,356:52,13:44,0,0,,22,11,5,28,,chishde01
622,Nate Danielson,21,DET,C,28,2,5,7,-7,4,2,0,0,0,2,3,0,31,6.5,59,309:29,11:03,55,91,37.7,9,8,8,17,,daniena01
623,Vincent Desharnais,29,SJS,D,52,1,6,7,7,68,1,0,0,1,6,0,0,34,2.9,100,942:39,18:08,0,0,,81,101,9,49,,deshavi01
624,Trent Frederic,27,EDM,C,73,4,3,7,-17,58,4,0,0,1,3,0,0,76,5.3,136,802:17,10:59,89,67,57.1,21,192,9,35,,fredetr01
625,Marc Gatcomb,26,NYI,F,49,3,4,7,-3,10,3,0,0,0,4,0,0,55,5.5,94,494:16,10:05,1,3,25.0,24,192,6,12,,gatcoma01
626,Joel Hanley,34,CGY,D,68,0,7,7,-5,44,0,0,0,0,7,0,0,43,0.0,118,997:33,14:40,0,0,,90,42,10,53,,hanlejo01
627,William Karlsson,33,VEG,C,14,4,3,7,-1,4,2,1,1,1,3,0,0,30,13.3,48,212:03,15:09,91,67,57.6,13,3,3,11,,karlswi01
628,Ville Koivunen,22,PIT,RW,38,2,5,7,-8,10,1,1,0,0,2,3,0,34,5.9,84,478:37,12:36,2,0,100.0,13,5,11,16,,koivuvi01
629,Luke Kunin,28,FLA,C,61,2,5,7,-8,47,2,0,0,0,5,0,0,44,4.5,97,581:38,9:32,216,216,50.0,45,121,3,22,,kuninlu01
630,Nick Leddy,34,SJS,D,32,1,6,7,-9,6,1,0,0,0,6,0,0,16,6.3,51,571:51,17:52,0,0,,40,7,5,21,,leddyni01
631,Kyle MacLean,26,NYI,F,59,2,5,7,-6,40,2,0,0,0,5,0,0,43,4.7,95,620:39,10:31,48,31,60.8,23,121,8,30,,macleky01
632,Stefan Noesen,32,NJD,RW,38,3,4,7,-12,33,2,1,0,1,2,2,0,52,5.8,93,446:40,11:45,16,17,48.5,15,33,3,23,,noesest01
633,Zack Ostapchuk,22,SJS,C,57,4,3,7,-11,45,4,0,0,2,3,0,0,41,9.8,69,570:02,10:00,225,209,51.8,29,137,8,20,,ostapza01
634,Brayden Pachal,26,CGY,D,37,1,6,7,-1,47,1,0,0,0,6,0,0,28,3.6,82,508:24,13:44,0,0,,35,88,7,29,,pachabr01
635,Brett Pesce,31,NJD,D,37,1,6,7,-11,6,1,0,0,0,6,0,0,45,2.2,87,751:17,20:18,0,0,,80,11,16,23,,pescebr01
636,Luke Schenn,36,2TM,D,49,1,6,7,-13,41,1,0,0,0,6,0,0,34,2.9,95,670:33,13:41,0,0,,57,146,7,43,,schenlu01
636,Luke Schenn,36,WPG,D,46,1,6,7,-11,32,1,0,0,0,6,0,0,32,3.1,89,632:06,13:44,0,0,,54,139,7,40,,schenlu01
636,Luke Schenn,36,BUF,D,3,0,0,0,-2,9,0,0,0,0,0,0,0,2,0.0,6,38:27,12:49,0,0,,3,7,0,3,,schenlu01
637,Donovan Sebrango,24,2TM,D,41,0,7,7,-8,68,0,0,0,0,7,0,0,32,0.0,98,614:19,14:59,0,0,,31,77,5,27,,sebrado01
637,Donovan Sebrango,24,OTT,D,2,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,5,30:27,15:14,0,0,,0,1,0,1,,sebrado01
637,Donovan Sebrango,24,FLA,D,39,0,7,7,-7,63,0,0,0,0,7,0,0,31,0.0,93,583:52,14:58,0,0,,31,76,5,26,,sebrado01
638,Landon Slaggert,23,CHI,LW,52,3,4,7,-2,16,3,0,0,1,4,0,0,47,6.4,83,547:43,10:32,1,2,33.3,24,77,4,12,,slaggla01
639,Jack St. Ivany,26,PIT,D,19,0,7,7,5,6,0,0,0,0,7,0,0,17,0.0,43,305:31,16:05,0,0,,24,44,4,20,,stivajo01
640,Taylor Ward,27,LAK,F,34,3,4,7,1,7,3,0,0,0,4,0,0,36,8.3,95,328:51,9:40,4,6,40.0,8,37,2,19,,wardta01
641,John Beecher,24,2TM,C,35,3,4,7,-6,31,2,0,1,0,3,0,1,37,8.1,68,365:12,10:26,85,111,43.4,31,23,6,14,,beechjo01
641,John Beecher,24,BOS,C,6,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,10,62:26,10:24,0,3,0.0,4,7,0,1,,beechjo01
641,John Beecher,24,CGY,C,29,2,4,6,-5,31,1,0,1,0,3,0,1,31,6.5,58,302:46,10:26,85,108,44.0,27,16,6,13,,beechjo01
642,Simon Benoit,27,TOR,D,72,0,6,6,-22,41,0,0,0,0,6,0,0,58,0.0,142,1244:14,17:17,0,0,,112,192,12,66,,benoisi01
643,Zach Bogosian,35,MIN,D,41,2,4,6,8,18,2,0,0,0,4,0,0,30,6.7,76,596:19,14:33,0,1,0.0,37,47,10,32,,bogosza01
644,Jaroslav Chmelar,22,NYR,RW,27,4,2,6,-2,7,4,0,0,1,2,0,0,22,18.2,41,242:48,9:00,0,4,0.0,15,49,6,4,,chmelja01
645,Connor Clifton,30,PIT,D,49,2,4,6,5,53,2,0,0,1,4,0,0,34,5.9,111,819:23,16:43,0,0,,83,179,13,37,,cliftco01
646,Brendan Gaunce,31,CBJ,C,25,2,4,6,-1,12,0,0,2,1,4,0,0,29,6.9,61,297:34,11:54,103,78,56.9,21,44,6,7,,gauncbr01
647,Jordan Greenway,28,BUF,LW,39,1,5,6,-10,27,1,0,0,0,5,0,0,32,3.1,65,481:45,12:21,8,25,24.2,22,57,6,18,,greenjo02
648,Kevin Hayes,33,PIT,RW,27,4,2,6,-4,8,4,0,0,1,2,0,0,43,9.3,78,335:15,12:25,47,79,37.3,10,32,3,19,,hayeske01
649,Daemon Hunt,23,MIN,D,31,0,6,6,-2,6,0,0,0,0,6,0,0,19,0.0,42,376:42,12:09,0,0,,41,21,1,14,,huntda01
650,Pierre-Olivier Joseph,26,VAN,D,31,1,5,6,-16,8,1,0,0,0,5,0,0,22,4.5,55,412:27,13:18,0,0,,28,18,9,25,,joseppi01
651,David Kämpf,31,2TM,C,40,2,4,6,-13,12,2,0,0,0,4,0,0,36,5.6,65,589:08,14:44,289,264,52.3,26,45,6,18,,kampfda01
651,David Kämpf,31,VAN,C,38,2,4,6,-12,10,2,0,0,0,4,0,0,36,5.6,65,571:00,15:02,284,255,52.7,22,43,6,18,,kampfda01
651,David Kämpf,31,WSH,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,0,18:08,9:04,5,9,35.7,4,2,0,0,,kampfda01
652,Brad Lambert,22,WPG,C,23,3,3,6,-3,4,3,0,0,0,2,1,0,25,12.0,47,241:59,10:31,3,8,27.3,6,20,2,12,,lambebr01
653,Curtis Lazar,30,EDM,C,44,4,2,6,-2,10,4,0,0,1,2,0,0,29,13.8,68,391:09,8:53,175,109,61.6,19,89,3,9,,lazarcu01
654,Zach Metsa,27,BUF,D,42,2,4,6,17,8,2,0,0,1,4,0,0,24,8.3,55,456:54,10:53,0,0,,30,5,4,27,,metsaza01
655,Scott Morrow,23,NYR,D,29,0,6,6,-5,4,0,0,0,0,4,2,0,24,0.0,91,454:24,15:40,0,0,,29,11,5,21,,morrosc02
656,Jani Nyman,21,SEA,RW,26,4,2,6,-4,6,3,1,0,0,1,1,0,31,12.9,68,271:10,10:26,2,4,33.3,5,22,1,13,,nymanja01
657,Cole Schwindt,24,FLA,RW,28,4,2,6,0,2,4,0,0,0,2,0,0,24,16.7,43,276:16,9:52,86,109,44.1,10,38,3,7,,schwico01
658,Urho Vaakanainen,27,NYR,D,34,0,6,6,0,14,0,0,0,0,6,0,0,23,0.0,66,471:05,13:51,0,0,,26,11,5,22,,vaakaur01
659,Zach Aston-Reese,31,CBJ,C,27,1,4,5,-1,12,1,0,0,0,4,0,0,17,5.9,31,262:48,9:44,7,18,28.0,17,78,2,10,,astonza01
660,Arshdeep Bains,25,VAN,F,28,1,4,5,-3,12,1,0,0,0,3,1,0,18,5.6,31,257:46,9:12,2,12,14.3,5,24,6,11,,bainsar01
661,Jacob Bernard-Docker,25,DET,D,63,1,4,5,0,25,1,0,0,0,4,0,0,41,2.4,113,933:03,14:49,0,0,,87,66,8,41,,bernaja01
